date,window_id,window_start,window_end,n_days,n_assets,corr_k_edge_mean,corr_k_edge_median,corr_k_edge_q10,corr_k_edge_q05,corr_k_edge_ltm10,corr_k_edge_frac_neg,corr_f_edge_mean,corr_f_edge_median,corr_f_edge_q10,corr_f_edge_q05,corr_f_edge_ltm10,corr_f_edge_frac_neg,corr_k_vertex_mean,corr_k_vertex_median,corr_k_vertex_q10,corr_f_vertex_mean,corr_f_vertex_median,corr_f_vertex_q10,prec_k_edge_mean,prec_k_edge_median,prec_k_edge_q10,prec_k_edge_q05,prec_k_edge_ltm10,prec_k_edge_frac_neg,prec_f_edge_mean,prec_f_edge_median,prec_f_edge_q10,prec_f_edge_q05,prec_f_edge_ltm10,prec_f_edge_frac_neg,prec_k_vertex_mean,prec_k_vertex_median,prec_k_vertex_q10,prec_f_vertex_mean,prec_f_vertex_median,prec_f_vertex_q10
2011-01-03,0,2010-01-05,2011-01-03,252,150,0.2373368914332962,0.26916015449270325,0.08214190540829269,0.026976534288799314,-0.021591190713429253,0.036893203883495145,-3117.709029793928,-3026.3809812340064,-4967.616568948966,-5710.442100438419,-5813.434104183211,0.9967637540453075,0.17290265737466654,0.17811564162205357,0.048712406827749015,-2155.22207242623,-2380.7792892416564,-3465.1792747107897,0.054630909954458594,0.0936728571303766,-0.17029894946663013,-0.27526024776803265,-0.30038785730281364,0.2946666666666667,-45.185046245288724,-39.491337665679076,-77.68555688636417,-92.911722191536,-98.03020945561104,1.0,0.04377763068158414,0.052932598429537,-0.04011550248472122,-41.668816770912414,-39.95990275722711,-60.74142997742594
2011-01-04,1,2010-01-06,2011-01-04,252,150,0.23696086144011713,0.2676272008487264,0.08108941610382785,0.03286162953549876,-0.019967846677376156,0.03816300129366106,-3134.9180970043235,-3092.579369117768,-5039.333562294158,-5733.2851375204455,-5879.156468042883,0.9967658473479948,0.17307174039588724,0.17900876771387395,0.05344913880921185,-2162.213503888558,-2404.297383447002,-3487.6596034520753,0.13205524792660742,0.157441329274784,-0.04374106115653157,-0.127231061819438,-0.1574189758069605,0.14266666666666666,-83.96240251748267,-68.99789292642532,-169.04078429515707,-200.00351949312324,-211.79238983673616,0.9993333333333333,0.1377981249571864,0.12661265292136675,0.006270146222037699,-62.11565707219496,-64.69965027939631,-102.45916377444661
2011-01-05,2,2010-01-07,2011-01-05,252,150,0.23887082243242316,0.26752365021516045,0.09116648298555216,0.024907995501891045,-0.019981342057203328,0.037516170763260026,-3148.393191077555,-3096.627990634276,-5063.6427511674265,-5793.569519889612,-5891.435967593315,0.9967658473479948,0.17256198702266298,0.1781929577977423,0.05373730512386614,-2169.1760530702086,-2422.2178445222735,-3586.4531795600988,0.05882036529446924,0.06794577922662837,-0.033251094870491035,-0.06626705911135576,-0.08766822261788419,0.182,-185.89400079145875,-176.24404000745363,-287.53230188531893,-328.47288529705514,-343.2990295574306,1.0,0.05363663507236725,0.056091259196833235,0.018588632375501613,-171.39852101647864,-164.29396718329195,-237.62581656915407
2011-01-06,3,2010-01-08,2011-01-06,252,150,0.23846015431901152,0.26568025200868617,0.09172687054556355,0.03834907883146366,-0.01437221694575718,0.03483870967741935,-3159.6206761371,-3110.507120154596,-5070.897841912122,-5836.545604255301,-5915.14426727132,0.9967741935483871,0.172127348905259,0.17948470419172616,0.05116012340511259,-2182.1375859695063,-2432.6530410992036,-3602.7732917374124,0.13457433979274386,0.16173988732330125,-0.0490698645799479,-0.12902561978692503,-0.1549513697900549,0.14333333333333334,-85.08127710278487,-69.69889594359708,-169.25952280369427,-208.05655165881663,-217.04096629008782,0.9993333333333333,0.1383171734350137,0.13022146621183395,0.014616322027610536,-62.80560902322339,-64.73315306112835,-103.03109024017861
2011-01-07,4,2010-01-11,2011-01-07,252,150,0.23853258276776204,0.2672752681294695,0.08912720727264217,0.0329140088571056,-0.018118573778058242,0.036774193548387096,-3171.0075622892105,-3123.1568423136882,-5044.016254950473,-5821.9151202159055,-5967.274968383506,0.9967741935483871,0.1719303650852922,0.17938693796310085,0.051206573669961473,-2186.753502099633,-2437.526100618816,-3560.2483381505604,0.13255663969295658,0.15768041457400045,-0.048243412279774016,-0.127983105721021,-0.1551649537111132,0.14333333333333334,-85.43003773430473,-70.41718642859932,-171.35587727878573,-205.09658029518988,-216.1684113713341,0.9993333333333333,0.13588790648205212,0.12475946617956836,0.007238478033367549,-63.51180348908579,-65.86144914405281,-102.25214212014806
2011-01-10,5,2010-01-12,2011-01-10,252,150,0.24220369690638285,0.27328638076186607,0.0938504077637914,0.03702004530240566,-0.014806299106899323,0.035483870967741936,-3158.2691808282634,-3101.028774608695,-4997.271431871668,-5743.825262695342,-5866.791574057297,0.9967741935483871,0.17360109071111154,0.17785390801433967,0.055975698362040215,-2180.4544503602665,-2411.3534917987254,-3575.2478081137647,0.13370380193983764,0.1575014584407164,-0.04507799065447797,-0.12653997208283627,-0.15348080776370204,0.14533333333333334,-84.27533746327248,-68.99445481647052,-167.8425357731473,-204.27926686443067,-213.28830683421364,0.9993333333333333,0.13789232413315214,0.13261506981173493,0.009886450286246542,-61.82840799749705,-64.9155993229958,-103.00159625579107
2011-01-11,6,2010-01-13,2011-01-11,252,150,0.24263890530376184,0.2734523497095622,0.09625130124747688,0.03561473246833691,-0.014234352269110306,0.03483870967741935,-3154.059164837231,-3092.1562978551747,-5012.629028418495,-5656.222406382129,-5873.429962098778,0.9967741935483871,0.17446865251174765,0.18302085175232918,0.05618488305920231,-2171.9216299687164,-2372.3195492315367,-3433.2633022706977,0.13376918984850192,0.16036259725538432,-0.05107382843004635,-0.1200732009294934,-0.1546484158673862,0.14733333333333334,-84.98399424594403,-70.14420591788016,-168.38276579007248,-205.67560118900764,-214.97803201428164,0.9993333333333333,0.1374959332490622,0.13010436012865012,0.0035656559746186397,-62.36027619436405,-65.03333942051354,-101.42672691181325
2011-01-12,7,2010-01-14,2011-01-12,252,150,0.24200137242691916,0.27206235776326765,0.09660841726986545,0.041339880493425074,-0.015229306869539484,0.03741935483870968,-3152.811053103107,-3082.791446459921,-5014.885643915863,-5702.637325043287,-5889.887893390441,0.9967741935483871,0.17480535437600614,0.18588523665574835,0.058221180434461006,-2179.5823468129634,-2448.76214795764,-3410.1584263008326,0.0587457442026679,0.06811955916390361,-0.03448962956661086,-0.06966919601811582,-0.08681507114357633,0.17866666666666667,-182.1808714299158,-172.81189613050284,-279.51976540384317,-314.04768653573274,-324.84856261515455,1.0,0.05441741972974626,0.05824214069950025,0.019377395096571767,-169.19767554464624,-163.0558905280086,-233.87932690685628
2011-01-13,8,2010-01-15,2011-01-13,252,150,0.2416050328411716,0.27179793652422557,0.08759163558080817,0.02540308599967933,-0.020104382700139586,0.03870967741935484,-3146.259264670832,-3095.6516588324866,-4994.402400531261,-5667.418287631398,-5872.9860817429,0.9967741935483871,0.17296802754810336,0.18625233592868395,0.05655855073871396,-2150.4201451906306,-2412.0371186613042,-3437.7225872221666,0.05740398567593718,0.06746312780106795,-0.03382151302055185,-0.06385836083863383,-0.0846057058663982,0.19466666666666665,-178.58667854908455,-169.8425656446767,-269.0392595786627,-308.49448029751017,-320.7342532366736,1.0,0.05370806119483421,0.054831506745991326,0.018552108670826288,-166.6962399828786,-162.76428850668168,-232.3378681763428
2011-01-14,9,2010-01-19,2011-01-14,252,150,0.2417063916420459,0.2731579122087643,0.0899717971289515,0.035146927601722555,-0.016012406249753804,0.03612903225806452,-3148.331140176243,-3070.499187218341,-5014.379867249571,-5696.505213792331,-5875.173471491238,0.9974193548387097,0.174724036940563,0.1862917560816736,0.05789593211022127,-2162.581195549592,-2416.1029275350934,-3434.628682717946,0.13315498681194976,0.15786478037226842,-0.04952127582388949,-0.12621045024125432,-0.1558785909110456,0.14466666666666667,-83.84350416464144,-69.04586831049363,-167.27067156006544,-198.90608026030702,-209.64012025439354,0.9993333333333333,0.1394910011053884,0.13037966082124963,0.001651491040023889,-61.265419734225155,-63.032241194782074,-99.70253759891918
